ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
f1570e37,More exercise,healthy eating and more exercising,,
f1b5386a,,,"More exercise, less stress from uni work",I'm getting more uni work done
f2213aea,,,,
f2829d69,,I've done more gardening,I was able to spend more time with my daughters who were both forced home from school.,I got to spend more time with my daughters who would have been away at college.
f2954d24,Spending quality time with family. Sorting out stuff in the house. Watching lots of films!,"More time with family, re-learning French, watching lots of films.",It was quite nice spending time with family though would rather not under those circumstances. Better technology being used by services and businesses.,More time at home to do things with family and home improvements
f2d6e07f,Following Govt guidelines. More regular contact with family and friends by FaceTime and phone. ,Daily phone/ video messaging with family. ,,
f394e72a,,I have started running and taken up an interest in improving my fitness.,,I began to exercise more compared to before COVID-19
f39f639f,Personal development - I've had time to study towards my professional exam,Spend more fine with my son,More time with family,More time spent with family
f3feac97,A coming together of the local community,,,
f42e8953,,,,
f484f708,,Working from home is possible,,Working from home offers some benefits
f4c2cc80,Community spirit,,Gimme working,Working from home
f507c943,Renewed focus on important things ,"Slower pace of life, time to spend with my son.","Prioritising family, health, building work, debt","Work life balance, home improvement, regular contact with family"
f5299a02,,,Don't have to commute,No commuting
f5654620,,,,
f5736b1a,,,,
f58213ec,,,,My GPA has improved.
f5a40053,Mu husband has got more time to play with the children because he works from home now,,"Husband working from home more, slower peace of life, I've managed to get some work from home",I've got to spend more time with my family as schools in the area have been closed for long periods of time.
f5d78074,,,,
f5ef5cca,"i have a cleaner house, saving money on gas",i am saving money on gas and other things,,I worked from home for a while and saved on gas.
f6295911,"less noise, cleaner air",More time with spouse,reduced commuting,No commuting
f6357eb1,"Eating healthier, working from home means I wake up almost 2 hours later than when I commuted for work.","No commute means I get an extra hour in bed, also have time for yoga immediately after work","Much shorter commute, eating healthier meals",Changed careers and now in a relationship
f68ea203,"I normally work from home and travel long distance to my office every few weeks, this is tiring and expensive. I haven't had to do this since Covid19",Don't have to travel into work so regularly,No more long commutes,No need to go into the office
f698dd7d,,,,
f698f162,,,more time to focus on getting my life together,
f6fc355a,reading more,more time to read,"sewing more, new hobbies",new hobbies
f7070d7f,,,,
f71cb711,"More money now than before because of government assistance, Universal Credit","More time with family, realise what is important in life, better bonding with family, DIY in house","More time with family, more walks",
f74a1a91,,,,
f7630d0d,"More time with family, less stress and pressure from being busy","More relaxed lifestyle, more time with immediate family (in our household), more family harmony","More time with my family, ability to reassess and focus on what is most important, reduced stress and anxiety","No more long commute, more time to be at home with my children, less rushing around meaning more time to choose how I use my time, e.g. discovering a love of gardening."
f7661008,,more regular lifestyle,"slower pace of life, changed priorities","more introspection, more money, more concentration at work"
f78de03a,more time with family,time with kids ,more time with kids,more quality time with kids
f7c26ebd,,,,
f7c445e3,fewer people about,"Slightly fewer people about, slightly better air quality",,
f7feadc1,Relaxing and taking time away from busy life less stress,Taking time to appreciate life and relaxing,Close relationships with family and friends,Working from home
f8038007,Less traffic,,,
f8116918,"Reading more, exercising more, journaling, less stressed (academic related)","exercise, study routine",,"decided to take a break from university, improving my mental health"
f878adc8,,I'm closer to my partner,,more work at my company
f87e8cde,,,,
f881bcd9,,,,
f8986e55,,,,
f899f861,,I'm in the garden more and appreciate nature more than being on my phone or laptop,New hobbies ,
f8d48bb6,self isolating/stay at home,confinement at home,saving money,
f8f70a5d,,greater video contact with extended family,Greater amount of virtual contact with physically distant family members.,Greater virtual contact with extended family members
f9968550,More time with wife and kids,More time with family,More time with family,More family time
f9a575ff,,Bring family closer,Better relationship with kids and much better balance of work and personal life,"Workingfrom home, more time for me, more family time, better wellbeing"
fa067224,Exercising more,Walking outside every morning,I learned how to embroider,"Learned how to embroider, read more"
fab5c22d,More time as a family,More family time,More time with family,More family time - less commuting for work
fab8e8c7,,,,
fb0eb256,Better community spirit,people are more in a partnership,Improved life work relationship,Work from home
fb30936f,More time with family and also time for realization that we can lead a simple life and keep away most of the things which used to be a habit earlier,Realized we can live away from many things which used to be a habit earlier,Learnt to avoid unnecessary expenses and the days were happier so far,Learned a lot of new things
fb780bbc,,,,
fbb2d910,"Taken up yoga, baking, reading more",More time to spend at home,,got a dog
fbbae3ee,,,,
fbfc01b0,Working from home,,Saving,House move. Job change.
fc0b319b,More aware of infection ,,Effecting work and travel,
fc0d65e8,community engagement,re-evaluation of the importance of closeness and contact with people,,
fc201e7b,,,,time alone
fc3710d3,,husband is home more,,
fc583053,,caused me to reappraise the value of health,a greater appreciation of those who were deprived of green space during the spring lockdown period,
fc9093c4,,,,
fcb6ffb0,Just having to stay at home more other than work,More aware and careful,Being more aware of the things I do as well as doing them more,
fcc8c431,,I've done more local walking and feel a connection with nature,I discovered more abut my local area during lockdown walks,I've discovered more of my local area by daily walks
fd22f6e4,I have more time for my children and feel that we are bonding more as a family,I feel that as a family we are closer and my children are learning more,We have learned how to entertain ourselves at home and enjoyed spending time together,I feel closer to my children and my daughter benefitted from home schooling
fd289226,,"The federal stimulus check, more studies on MTurk and Prolific.",,
fd4c71e6,family time -home improvement projects,"Family time, household repairs are getting done",more time at home with family,more time with family
fd4e72c5,Staying home with child,More time with my daughter,more money from not going out,More money
fdaf61d6,got my grit back,,,
fdd96f61,I've utilised my daily exercise outdoors by running again. It's less stressful getting to and from work due to no traffic,,,
fe5209c1,,,I have more time to spend with my partner and have gotten into some new hobbies. I also have spent more time in nature.,I moved in with my significant other because of COVID-19.
fe76c64c,"more diy, baking and the air seems much fresher, the sky seems bluer","Walking more, cooking more, being with partner more, feeling air and environment is cleaner, less polluted","Cleaner air, more walks etc","Time to relax and take in nature, less polution and noise, sky bluer,"
fe977fb2,,More exercise,Closer relationships with family,Finances and relationships with my husband and son
fea7af91,,Running a lot more than usual.,More time to exercise,More time to exercise.
feaecbda,,,,never leave the house except for groceries
febb3b15,,,,Been able to cook a lot more. Not commuting for work or school leaves time for better things.
ff29fe6a,Family time.,,Closer relationships with family,Spending more time with close family.
ff3f1337,,Started new hobbies,"Been able to look after my health better, spending less money and started a podcast",learnt new skills
